time,cycle,altitude,north_pos,east_pos,forward_vel,side_vel,vertical_vel,total_vel,roll_angle,pitch_angle,yaw_angle,roll_rate,pitch_rate,yaw_rate,aileron,elevator,rudder,throttle,aoa,sideslip,g_force,heading_deg,bank_deg,pitch_deg,aoa_deg,slip_deg
0.050000,10,1000.076205,2.750598,0.000000,55.065925,-0.000001,0.264076,55.066559,0.000000,0.030095,0.000000,0.000002,0.002608,0.000001,0.000072,0.048803,0.000036,0.724701,-0.004796,-0.000000,0.656160,0.000001,0.000003,1.724304,-0.274768,-0.000001
0.100000,20,1000.138733,5.504922,0.000000,55.132440,-0.000004,0.564652,55.135331,0.000000,0.030228,0.000000,0.000006,0.002665,0.000002,0.000152,0.047302,0.000076,0.724358,-0.010241,-0.000000,0.490148,0.000005,0.000015,1.731950,-0.586788,-0.000004
0.150000,30,1000.185752,8.263059,0.000000,55.199480,-0.000012,0.904149,55.206884,0.000001,0.030359,0.000000,0.000010,0.002575,0.000004,0.000232,0.045613,0.000115,0.724002,-0.016378,-0.000000,0.386437,0.000013,0.000039,1.739462,-0.938402,-0.000012
0.200000,40,1000.215186,11.025101,0.000000,55.266932,-0.000023,1.287633,55.281930,0.000001,0.030485,0.000000,0.000014,0.002466,0.000006,0.000312,0.043711,0.000154,0.723629,-0.023294,-0.000000,0.302863,0.000027,0.000074,1.746684,-1.334660,-0.000024
0.250000,50,1000.224679,13.791140,0.000000,55.334610,-0.000037,1.720987,55.361367,0.000002,0.030606,0.000001,0.000018,0.002344,0.000007,0.000392,0.041568,0.000192,0.723234,-0.031091,-0.000001,0.232023,0.000045,0.000121,1.753575,-1.781408,-0.000038
0.300000,60,1000.211559,16.561266,0.000000,55.402229,-0.000054,2.210919,55.446327,0.000003,0.030719,0.000001,0.000022,0.002208,0.000009,0.000472,0.039151,0.000231,0.722812,-0.039886,-0.000001,0.193513,0.000068,0.000180,1.760096,-2.285272,-0.000056
0.350000,70,1000.172792,19.335566,0.000001,55.469370,-0.000074,2.765074,55.538245,0.000004,0.030826,0.000002,0.000026,0.002055,0.000011,0.000552,0.036423,0.000269,0.722357,-0.049807,-0.000001,0.216731,0.000097,0.000250,1.766202,-2.853756,-0.000076
0.400000,80,1000.104936,22.114112,0.000001,55.535436,-0.000095,3.392179,55.638939,0.000006,0.030925,0.000002,0.000030,0.001884,0.000012,0.000632,0.033342,0.000307,0.721858,-0.061006,-0.000002,0.300978,0.000129,0.000331,1.771845,-3.495361,-0.000098
0.450000,90,1000.004074,24.896956,0.000002,55.599591,-0.000117,4.102225,55.750720,0.000007,0.031014,0.000003,0.000034,0.001692,0.000014,0.000712,0.029860,0.000345,0.721305,-0.073648,-0.000002,0.430810,0.000167,0.000423,1.776968,-4.219727,-0.000121
0.500000,100,999.865752,27.684117,0.000003,55.660682,-0.000140,4.906677,55.876533,0.000009,0.031093,0.000004,0.000038,0.001477,0.000015,0.000792,0.025922,0.000382,0.720684,-0.087926,-0.000003,0.596175,0.000209,0.000527,1.781507,-5.037794,-0.000144
